UC ID,Use Case,Roles,Permission Gate,Primary File,Done,Notes
UC-001,Sign in,All,auth-guard,js/auth-guard.js,[ ],
UC-002,View Home dashboard,All approved,home.view,js/views/HomeView.js,[ ],
UC-003,Edit own profile,All,none (self),js/views/ProfileView.js,[ ],
UC-004,Report a problem,All,none,js/views/ReportProblemView.js,[ ],
UC-005,Switch active company,All (multi-company),none (own company_ids),js/views/SidebarView.js,[ ],
UC-006,Receive reminders & notifications,All,none,js/services/ReminderEngine.js,[ ],
UC-007,Log out,All,none,js/views/SidebarView.js,[ ],
UC-008,Complete onboarding tour,First-time user,none,js/views/TourView.js,[ ],
UC-101,View my tasks (time-grouped),Worker/Sales,tasks.view,js/views/TaskListView.js,[ ],Layout switcher hidden for workers
UC-102,Create a task,Worker/Sales,tasks.write,js/views/NewTaskPageView.js,[ ],
UC-103,Assign task to same-company teammate,Worker/Sales,tasks.write + RLS 041/043,js/views/NewTaskPageView.js,[ ],Same-company only
UC-104,Open task detail,Worker/Sales,tasks.view,js/views/TaskDetailView.js,[ ],
UC-105,Inline-edit a task field,Worker/Sales,tasks.write,js/views/TaskDetailView.js,[ ],Optimistic version lock
UC-106,Mark task done / reopen,Worker/Sales,tasks.write,js/views/TaskListView.js,[ ],
UC-107,Delete a task I created,Worker/Sales,tasks.write + creator check,js/controllers/AppController.js,[ ],RLS mig 044
UC-108,Manage subtasks / checklist,Worker/Sales,tasks.write,js/views/TaskDetailView.js,[ ],
UC-109,Comment & @mention,Worker/Sales,task viewer,js/views/TaskDetailView.js,[ ],Comment allowed w/o full write
UC-110,Flag stuck / help / nudge / log call,Worker/Sales,tasks.write,js/views/TaskDetailView.js,[ ],
UC-111,Watch / unwatch a task,Worker/Sales,tasks.write,js/views/TaskDetailView.js,[ ],
UC-112,Duplicate a task,Worker/Sales,tasks.write,js/views/TaskDetailView.js,[ ],
UC-113,Filter & sort my list,Worker/Sales,none,js/views/FilterBarView.js,[ ],Persisted filters
UC-114,Search tasks,Worker/Sales,tasks.view,js/views/TopbarView.js,[ ],
UC-115,Set execution / focus order,Worker/Sales,tasks.write,js/views/FocusWidgetView.js,[ ],tasks.focus_seq mig 050
UC-116,Bulk actions on my tasks,Worker/Sales,tasks.write,js/views/BulkActionsView.js,[ ],
UC-117,Add task to a project folder,Worker/Sales,tasks.write,js/views/TaskListView.js,[ ],
UC-118,Browse projects,Worker/Sales,tasks.view,js/views/ProjectsView.js,[ ],
UC-119,Create project / add task / complete folder,Worker/Sales,tasks.write,js/views/ProjectsView.js,[ ],
UC-120,Clock in / start task timer,Worker/Sales,clock.use,js/views/TaskListView.js,[ ],Snapshots title/company mig 034
UC-121,Clock out / pause to General shift,Worker/Sales,clock.use,js/controllers/AppController.js,[ ],
UC-122,View my time,Worker/Sales,time.own,js/views/TimeView.js,[ ],
UC-123,Up Next widget,Worker/Sales,clock.use (timer),js/views/UpNextWidgetView.js,[ ],
UC-124,Today's Progress ring,Worker/Sales,none,js/views/ProgressWidgetView.js,[ ],
UC-201,Choose a task layout,Supervisor+,tasks.view,js/app.js,[ ],Hidden for workers
UC-202,View Watching dashboard,Supervisor+,team.view,js/views/TaskListView.js,[ ],
UC-203,See team workload on Home,Supervisor+,reports.view,js/views/HomeView.js,[ ],
UC-204,Open Reports / analytics,Supervisor+,reports.view,js/views/ReportsView.js,[ ],Company-scoped
UC-205,View Team workload (time),Supervisor+,time.team,js/views/TimeView.js,[ ],Self + direct reports
UC-206,View Team org chart,Supervisor+,team.view,js/views/HierarchyView.js,[ ],
UC-207,Edit task taxonomy (Task Setup),Supervisor+,task-setup.manage,js/views/TaskSetupAdminView.js,[ ],Per-company
UC-208,Open office Wallboard,Supervisor+,home.view,js/views/WallboardView.js,[ ],Read-only
UC-209,Assign work to direct reports,Supervisor+,tasks.write,js/views/TaskDetailView.js,[ ],
UC-210,New-task Task-setup link,Supervisor+,task-setup.manage,js/views/NewTaskPageView.js,[ ],
UC-301,Manage users & approvals,Admin+,roles.manage,js/views/ApprovalView.js,[ ],
UC-302,Approve a pending signup,Admin+,roles.manage,js/views/ApprovalView.js,[ ],
UC-303,Assign / change a person's role,Admin+,roles.manage,js/views/ApprovalView.js,[ ],
UC-304,Set reporting lines,Admin+,roles.manage,js/views/ApprovalView.js,[ ],Writes supervisor_id
UC-305,Assign companies to a user,Admin+,roles.manage,js/views/ApprovalView.js,[ ],Writes company_ids mig 045
UC-306,Delete / offboard a user,Admin+,roles.manage,js/views/ApprovalView.js,[ ],Blocked for self
UC-307,Open live Clock Dashboard,Admin+,clock.admin,js/views/ClockDashboardView.js,[ ],
UC-401,Triage problem reports,Developer,bug-reports.manage,js/views/ReportsAdminView.js,[ ],
UC-402,View as another role,Developer,realRole===developer,js/views/TopbarView.js,[ ],
UC-403,Access debug tooling,Developer,debug.access,js/controllers/AppController.js,[ ],
UC-404,Full taxonomy authority,Developer,task-setup.manage + RLS,js/views/TaskSetupAdminView.js,[ ],
UC-501,Blocked at the wall (unapproved),Pending,approved=false,js/auth-guard.js,[ ],Resolved by UC-302
UC-502,Member with no role,Member,none granted,js/app.js,[ ],Read-locked until role assigned
UC-503,Clock-only account boot,Clock-only,clock.use w/o tasks.view,js/app.js,[ ],Boots to Time screen
