ID,Area,Type,Steps,Expected,Status,Notes
1,Sort,Regression,"All Tasks table: Sort menu > pick Due date, then pick Due date again","First pick sorts by due ascending; second pick flips to descending; Sort button label updates both times",,
2,Group,Regression,"Group by menu: switch Due > Assignee","List regroups under assignee headers; any previously collapsed groups come back expanded",,
3,Group,Regression,"Click a group header caret to collapse, click again to expand","Group collapses/expands; other groups unaffected",,
4,Layout,Regression,"Switch layout table > kanban > cards > table","Each layout renders the same task set; no console errors",,
5,Search,Regression,"Type in the search box, then clear it","List narrows as you type; clearing restores the full list",,
6,Scope,Regression,"Flip the My work / Company segment both ways","List narrows to your tasks and back; choice survives reload",,
7,Calendar,Regression,"Calendar layout: toggle month > week > month","Mode switches; any selected day clears on each toggle",,
8,Calendar,Regression,"Click prev/next arrows a few times in month and week mode","Anchor moves by month/week; day list follows",,
9,Calendar,Regression,"Click a day with tasks, then click the same day again","First click selects the day and lists its tasks; second click deselects",,
10,Calendar,Regression,"Home: click a date on the mini-calendar","Jumps to All Tasks calendar anchored on that date with the day pre-selected; URL becomes #/tasks/calendar/<date>",,
11,Selection,Regression,"Open a task from the table; press j and k a few times; press Esc","Detail opens with URL #/task/<id>; j/k walk next/prev tasks (wraps at ends); Esc closes and URL returns to #/tasks",,
12,Navigation,Regression,"Sidebar: Home > All Tasks > Urgent > Today > a Team view > back to All Tasks","Every view renders; All Tasks always lands on the table layout regardless of the layout it was left in",,
13,Focus,Regression,"Focus widget > Open (enters Execution order), then click another view in the sidebar","Sort exits back to Priority; Sort button label says Priority; Focus widget shows its normal state",,
14,New task,Regression,"Open New task page, then click the logo/Home","Form closes and Home renders (no stuck overlay)",,
15,Filters,Regression,"Open the filter panel; toggle an assignee chip and a status chip","Panel opens; list narrows; active-filter count badge updates",,
16,Filters,Regression,"Set a due-range filter (e.g. This week), then set it back to All","List narrows and restores",,
17,Filters,Regression,"Tasks board: click a company chip in the top row, then All","List scopes to that company and back; app-wide company switcher unaffected",,
18,Saved views,Regression,"Save the current view; change filters+sort+group+layout; apply the saved view","Board restores exactly what was saved",,
19,Folders,Regression,"Projects: open a folder","List scopes to the folder with a folder header; URL becomes #/folder/<id>",,
20,Persistence,Regression,"Set sort+group+filters+scope, reload the app","Everything restores; layout opens on table (by design)",,
21,Company switch,Regression (excluded path),"Topbar company switcher: change company","Every list, sidebar badge, and head card refreshes to the new company",,
22,Role preview,Regression (excluded path),"Admin: View as > Worker, then back","Chrome and views re-render under the previewed role and restore correctly",,
23,Calendar,Normalization,"Calendar already on the current month with nothing selected: click Today","Nothing re-renders or flickers (previously caused a redundant re-render)",,
24,Selection,Normalization,"With no task open, press Esc","Nothing happens; no console errors (previously fired a redundant selection event)",,
25,Filters,Bug fix,"Open a folder, then Clear filters","Folder scope clears AND the URL hash leaves #/folder/... (pre-C5 the hash went stale)",,
26,Folders,Normalization,"Open a folder, reload the app","Folder scope is restored deterministically (pre-C5 it depended on whether another setting was changed afterwards)",,
27,Saved views,Normalization,"Apply a saved view that matches the current state exactly","No visible re-render or flicker (previously fired 4 unconditional events)",,
28,Console,Sanity,"Keep DevTools console open for the entire pass","No [UiStatePolicy] unknown-field errors; no new errors of any kind",,
